uid,src,sport,dst,dport,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,Z,answers,TTLs,AA,TC,RD,RA,rejected,ts
Cvvzlb2vT3Iqc6MtB3,192.168.202.89,137,10.7.136.159,137,udp,62190,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901007
Cvvzlb2vT3Iqc6MtB3,192.168.202.89,137,10.7.136.159,137,udp,62190,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901008
Cvvzlb2vT3Iqc6MtB3,192.168.202.89,137,10.7.136.159,137,udp,62190,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901010
Csjnsq37i9JxijCkP9,192.168.202.100,45658,192.168.27.103,5353,udp,0,"",_services._dns-sd._udp.local,1,C_INTERNET,12,PTR,"","",0,"","",false,false,false,false,false,1331901017
CAapKq2MfB7PYhe7hh,192.168.202.100,45659,192.168.27.103,5353,udp,0,"",_services._dns-sd._udp.local,1,C_INTERNET,12,PTR,"","",0,"","",false,false,false,false,false,1331901018
CW83x2kjOO9Rfm1w8,fe80::ba8d:12ff:fe53:a8d8,5353,ff02::fb,5353,udp,0,4.85,_telnet._tcp.local,1,C_INTERNET,12,PTR,0,NOERROR,0,"TXT 0 ,_afpovertcp._tcp.local,c02gn35udjwr._afpovertcp._tcp.local,TXT 19 model=MacBookAir4\\x2c2,TXT 0 ,_smb._tcp.local,c02gn35udjwr._smb._tcp.local,TXT 0 ,_ssh._tcp.local,c02gn35udjwr._ssh._tcp.local,TXT 0 ,_sftp-ssh._tcp.local,c02gn35udjwr._sftp-ssh._tcp.local,c02gn35udjwr.local,c02gn35udjwr.local,c02gn35udjwr.local,c02gn35udjwr.local,TXT 50 LKDC:SHA1.418C5873E1D5A5CD73A7737D28287940D4A5FB15","4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,120.000000,120.000000,120.000000,120.000000,4500.000000",true,false,false,false,false,1331901025
ClEo2b2n0Y7ApL4U99,192.168.202.85,137,192.168.202.255,137,udp,34107,"",SDS-MACBOOK-PRO,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CSNwDv1HYrBbBE9h05,192.168.202.102,137,192.168.202.255,137,udp,32821,"",C02GN35UDJWR,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CSNwDv1HYrBbBE9h05,192.168.202.102,137,192.168.202.255,137,udp,32818,"",SDS-MACBOOK-PRO,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CBLo2e1Z1rYW9eZTmd,192.168.202.93,60821,172.19.1.100,53,udp,3550,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901006
CBLo2e1Z1rYW9eZTmd,192.168.202.93,60821,172.19.1.100,53,udp,3550,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901007
CBLo2e1Z1rYW9eZTmd,192.168.202.93,60821,172.19.1.100,53,udp,35599,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901010
CBLo2e1Z1rYW9eZTmd,192.168.202.93,60821,172.19.1.100,53,udp,35599,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901019
COkLoK28WVSMFQDL2a,192.168.202.93,61184,172.19.1.100,53,udp,40931,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901010
COkLoK28WVSMFQDL2a,192.168.202.93,61184,172.19.1.100,53,udp,40931,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901019
COkLoK28WVSMFQDL2a,192.168.202.93,61184,172.19.1.100,53,udp,25983,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901006
COkLoK28WVSMFQDL2a,192.168.202.93,61184,172.19.1.100,53,udp,25983,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901007
C29nMH13BHWJjTVzz4,192.168.202.97,59011,156.154.70.22,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901024
C29nMH13BHWJjTVzz4,192.168.202.97,59011,156.154.70.22,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901026
C29nMH13BHWJjTVzz4,192.168.202.97,59011,156.154.70.22,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901028
C29nMH13BHWJjTVzz4,192.168.202.97,59011,156.154.70.22,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901032
CHXFTs1d7FrKuXeUk,192.168.202.97,59011,8.26.56.26,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901025
CHXFTs1d7FrKuXeUk,192.168.202.97,59011,8.26.56.26,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901028
CHXFTs1d7FrKuXeUk,192.168.202.97,59011,8.26.56.26,53,udp,58389,"",www.comodo.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901032
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19317,"",\x01\x02__MSBROWSE__\x02,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19317,"",\x01\x02__MSBROWSE__\x02,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901026
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19329,"",NY,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19329,"",NY,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901026
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19329,"",NY,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901027
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19337,"",MSHOME,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19333,"",(empty),1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19333,"",(empty),1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901026
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19333,"",(empty),1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901027
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19341,"",MSHOME,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19325,"",COLLECTIVE,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19325,"",COLLECTIVE,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901026
CFHwOcUAkavh7LyG,192.168.202.71,137,192.168.202.255,137,udp,19325,"",COLLECTIVE,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901027
CwGoWM18B7jZYEcjvi,192.168.202.77,137,192.168.202.255,137,udp,21110,"",\x01\x02__MSBROWSE__\x02,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901025
CwGoWM18B7jZYEcjvi,192.168.202.77,137,192.168.202.255,137,udp,21110,"",\x01\x02__MSBROWSE__\x02,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901026
CwGoWM18B7jZYEcjvi,192.168.202.77,137,192.168.202.255,137,udp,21110,"",\x01\x02__MSBROWSE__\x02,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901027
CC4LboWagnJjCpDmk,192.168.202.89,137,192.168.202.255,137,udp,62196,"",DWREP1,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901029
CC4LboWagnJjCpDmk,192.168.202.89,137,192.168.202.255,137,udp,62196,"",DWREP1,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901030
CC4LboWagnJjCpDmk,192.168.202.89,137,192.168.202.255,137,udp,62196,"",DWREP1,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901031
Cfmlu52EOuSovdrpj2,192.168.202.89,57144,192.168.207.4,53,udp,51018,"",cwepo.ccbc.ccbcmd.edu,1,C_INTERNET,1,A,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901053
CP0GkVYOcUStxcH8,192.168.202.89,137,10.7.137.108,137,udp,62199,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901033
CP0GkVYOcUStxcH8,192.168.202.89,137,10.7.137.108,137,udp,62199,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901035
CP0GkVYOcUStxcH8,192.168.202.89,137,10.7.137.108,137,udp,62199,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901036
ClWuZh3yyu8Oc320Ii,192.168.202.79,58115,192.168.207.4,53,udp,1,"",5ef35ade37119963da199c876819e36dc570413b.certs.googlednstest.com,1,C_INTERNET,16,TXT,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901055
Cxq8ei2X4U0AvoavL7,192.168.202.97,137,192.168.202.255,137,udp,40599,"",WWW.COMODO.COM,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901036
Cxq8ei2X4U0AvoavL7,192.168.202.97,137,192.168.202.255,137,udp,40599,"",WWW.COMODO.COM,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901036
Cxq8ei2X4U0AvoavL7,192.168.202.97,137,192.168.202.255,137,udp,40599,"",WWW.COMODO.COM,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901037
CT6ScvybqNfoWT8Eg,192.168.202.76,137,192.168.202.255,137,udp,57410,"",WPAD,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901047
CT6ScvybqNfoWT8Eg,192.168.202.76,137,192.168.202.255,137,udp,57410,"",WPAD,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901048
CT6ScvybqNfoWT8Eg,192.168.202.76,137,192.168.202.255,137,udp,57410,"",WPAD,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901049
CT6ScvybqNfoWT8Eg,192.168.202.76,137,192.168.202.255,137,udp,57406,"",HPE8AA67,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901042
CT6ScvybqNfoWT8Eg,192.168.202.76,137,192.168.202.255,137,udp,57406,"",HPE8AA67,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901042
CT6ScvybqNfoWT8Eg,192.168.202.76,137,192.168.202.255,137,udp,57406,"",HPE8AA67,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901043
CaaGYj1xT7ljjZgHo3,2001:dbb:c18:202:f2de:f1ff:fe9b:ad6a,5353,ff02::fb,5353,udp,0,"",_plasma._tcp.local,1,C_INTERNET,12,PTR,"","",0,"","",false,false,false,false,false,1331901053
Co53MJ1zR68DZZfDKg,192.168.202.93,51434,172.19.1.100,53,udp,23168,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901036
Co53MJ1zR68DZZfDKg,192.168.202.93,51434,172.19.1.100,53,udp,23168,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901037
Co53MJ1zR68DZZfDKg,192.168.202.93,51434,172.19.1.100,53,udp,16257,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901040
Co53MJ1zR68DZZfDKg,192.168.202.93,51434,172.19.1.100,53,udp,16257,"",www.apple.com,1,C_INTERNET,1,A,"","",0,"","",false,false,true,false,false,1331901049
C4F9iD4fRoaSpcqFvh,192.168.202.93,61591,172.19.1.100,53,udp,33869,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901040
C4F9iD4fRoaSpcqFvh,192.168.202.93,61591,172.19.1.100,53,udp,33869,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901049
C4F9iD4fRoaSpcqFvh,192.168.202.93,61591,172.19.1.100,53,udp,31088,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901036
C4F9iD4fRoaSpcqFvh,192.168.202.93,61591,172.19.1.100,53,udp,31088,"",www.apple.com,1,C_INTERNET,28,AAAA,"","",0,"","",false,false,true,false,false,1331901037
CNysgz1dDQYJa6R1L8,192.168.202.87,60440,192.168.207.4,53,udp,60105,"",api.screenname.aol.com,1,C_INTERNET,28,AAAA,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901069
CBogRp4FUq18dniiG6,192.168.202.87,56191,192.168.207.4,53,udp,62911,"",api.screenname.aol.com,1,C_INTERNET,28,AAAA,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901069
C0LioQ3k5gcYEqAD8d,192.168.202.87,52891,192.168.207.4,53,udp,21517,"",api.screenname.aol.com,1,C_INTERNET,1,A,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901069
Cg5QQO1QZ1qu21zTBd,192.168.202.87,42725,192.168.207.4,53,udp,43028,"",api.screenname.aol.com,1,C_INTERNET,1,A,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901069
Cb5SDq7USMGvaCFKj,192.168.202.87,42497,192.168.207.4,53,udp,11617,"",_xmpp-client._tcp.gmail.com,1,C_INTERNET,33,SRV,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901071
CYmkkL2T100HS6w5uk,192.168.202.87,36290,192.168.207.4,53,udp,46968,"",gmail.com,1,C_INTERNET,28,AAAA,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901071
CL8Jh12qiY5AH0aG4a,192.168.202.87,44779,192.168.207.4,53,udp,1832,"",gmail.com,1,C_INTERNET,28,AAAA,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901071
CA3d1437TszSf7y671,192.168.202.87,33154,192.168.207.4,53,udp,28064,"",gmail.com,1,C_INTERNET,1,A,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901071
CLc8zt4GOPxAszlQx,192.168.202.87,36776,192.168.207.4,53,udp,45798,"",gmail.com,1,C_INTERNET,1,A,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901071
CgnU3a2dCeiPW1ajg6,192.168.202.87,55201,192.168.207.4,53,udp,454,"",_xmppconnect.gmail.com,1,C_INTERNET,16,TXT,3,NXDOMAIN,0,"","",false,false,true,false,false,1331901071
Cg8frY2JGJGGlx1tA4,192.168.202.89,137,192.168.202.255,137,udp,62206,"",CWEPO,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901053
Cg8frY2JGJGGlx1tA4,192.168.202.89,137,192.168.202.255,137,udp,62206,"",CWEPO,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901054
Cg8frY2JGJGGlx1tA4,192.168.202.89,137,192.168.202.255,137,udp,62206,"",CWEPO,1,C_INTERNET,32,NB,"","",1,"","",false,false,true,false,false,1331901054
C0FMI31oskJ55QEFOc,192.168.202.89,137,10.7.137.108,137,udp,62209,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901066
C0FMI31oskJ55QEFOc,192.168.202.89,137,10.7.137.108,137,udp,62209,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"","",0,"","",false,false,false,false,false,1331901067
C0FMI31oskJ55QEFOc,192.168.202.89,137,10.7.137.108,137,udp,62209,"",*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,1,C_INTERNET,33,NBSTAT,"",""
